date,open,high,low,close,volume
2024-04-02,1587.589966,1590.579956,1570.640015,1579.579956,25449.25
2024-04-03,1599.589966,1605.030029,1575.609985,1580.699951,29045.8
2024-04-08,1560.589966,1561.589966,1528.189941,1532.25,59166.59
2024-04-09,1526.26001,1538.589966,1524.040039,1527.810059,25589.82
2024-04-10,1527.859985,1530.579956,1510.589966,1513.569946,27630.5
2024-04-11,1505.699951,1515.589966,1500.280029,1513.589966,22766.24
2024-04-12,1516.589966,1529.589966,1499.619995,1499.619995,26744.33
2024-04-15,1500.599976,1541.199951,1500.569946,1538.569946,35817.71
2024-04-16,1531.079956,1545.150024,1524.589966,1535.589966,26266.23
2024-04-17,1533.589966,1540.790039,1523.589966,1532.589966,24819.11
2024-04-18,1524.599976,1548.569946,1523.77002,1536.369995,26568.41
2024-04-19,1526.369995,1534.089966,1506.869995,1512.22998,23499.92
2024-04-22,1519.589966,1544.469971,1510.589966,1540.650024,29951.39
2024-04-23,1540.589966,1560.589966,1540.589966,1557.869995,24979.95
2024-04-24,1562.569946,1565.5,1548.920044,1559.189941,17086.43
2024-04-25,1555.920044,1561.189941,1547.839966,1558.630005,14476.48
2024-04-26,1559.589966,1579.589966,1559.569946,1575.02002,30995.92
2024-04-29,1562.540039,1593.589966,1559.410034,1569.589966,41332.23
2024-04-30,1570.599976,1595.469971,1570.589966,1570.589966,30759.89
2024-05-06,1599.560059,1630.589966,1592.589966,1625.790039,59909.49
2024-05-07,1631.380005,1643.390015,1622.27002,1635.589966,24924.52
2024-05-08,1635.280029,1635.560059,1621.26001,1629.560059,14769.09
2024-05-09,1623.589966,1630.569946,1615.589966,1621.589966,22387.34
2024-05-10,1626.689941,1633.469971,1599.579956,1604.569946,26206.61
2024-05-13,1597.609985,1598.25,1566.810059,1571.589966,37662.12
2024-05-14,1571.579956,1578.859985,1565.599976,1567.569946,21274.17
2024-05-15,1568.170044,1573.589966,1564.180054,1565.589966,15738.76
2024-05-16,1570.589966,1575.469971,1555.589966,1570.089966,29679.54
2024-05-17,1565.599976,1582.170044,1565.589966,1580.589966,28923.88
2024-05-20,1583.579956,1598.579956,1573.699951,1574.589966,31425.72
2024-05-21,1573.589966,1575.319946,1563.75,1570.589966,16293.39
2024-05-22,1568.589966,1575.550049,1556.589966,1563.300049,20285.68
2024-05-23,1565.589966,1571.969971,1555.670044,1557.599976,18884.97
2024-05-24,1558.589966,1560.589966,1542.589966,1542.670044,20216.63
2024-05-27,1543.589966,1553.040039,1533.599976,1535.709961,25097.91
2024-05-28,1535.98999,1540.76001,1528.589966,1530.22998,23520.87
2024-05-29,1531.589966,1545.589966,1530.589966,1539.589966,19651.28
2024-05-30,1540.589966,1540.969971,1514.589966,1514.589966,32207.92
2024-05-31,1516.089966,1529.089966,1514.040039,1514.040039,21856.65
2024-06-03,1515.589966,1516.51001,1500.699951,1504.97998,30261.05
2024-06-04,1506.089966,1521.589966,1502.140015,1518.790039,20841.08
2024-06-05,1517.589966,1524.27002,1508.619995,1509.589966,19055.57
2024-06-06,1509.25,1517.579956,1501.5,1505.400024,25610.05
2024-06-07,1511.719971,1511.77002,1484.599976,1484.77002,33524.55
2024-06-11,1468.579956,1470.589966,1432.589966,1434.589966,70246.76
2024-06-12,1435.589966,1455.589966,1435.589966,1437.27002,33170.5
2024-06-13,1442.359985,1442.47998,1418.73999,1420.599976,36185.97
2024-06-14,1420.589966,1429.550049,1386.050049,1420.589966,59514.16
2024-06-17,1397.880005,1414.359985,1376.599976,1407.089966,48318.16
2024-06-18,1396.47998,1420.130005,1382.27002,1387.089966,41258.25
2024-06-19,1394.449951,1400.459961,1378.560059,1397.459961,41261.53
2024-06-20,1396.459961,1412.469971,1394.459961,1396.560059,24710.68
2024-06-21,1396.959961,1401.439941,1366.680054,1367.459961,43319.97
2024-06-24,1319.459961,1385.449951,1310.469971,1373.01001,63839.93
2024-06-25,1373.459961,1399.449951,1373.459961,1383.109985,42097.95
2024-06-26,1376.459961,1397.530029,1374.26001,1385.680054,29569.77
2024-06-27,1388.459961,1390.430054,1364.459961,1386.949951,32821.78
2024-06-28,1376.459961,1390.949951,1360.459961,1363.849976,38582.02
2024-07-01,1365.339966,1369.449951,1324.459961,1336.839966,32161.38
2024-07-02,1329.459961,1394.459961,1329.459961,1387.160034,51852.98
2024-07-03,1395.459961,1409.469971,1384.47998,1396.459961,31573.26
2024-07-04,1401.459961,1408.459961,1377.589966,1382.199951,24379.73
2024-07-05,1375.459961,1389.640015,1346.459961,1349.459961,38829.38
2024-07-08,1339.459961,1354.22998,1315.599976,1316.459961,39527.05
2024-07-09,1316.459961,1351.349976,1306.560059,1334.48999,33620.71
2024-07-10,1335.709961,1362.339966,1331.459961,1334.050049,23763.22
2024-07-11,1346.430054,1365.459961,1336.670044,1358.550049,29020.14
2024-07-12,1369.469971,1382.859985,1361.910034,1375.280029,23386.34
2024-07-15,1366.459961,1384.459961,1366.459961,1371.359985,19176.26
2024-07-16,1372.459961,1378.459961,1361.51001,1372.459961,20316.44
2024-07-17,1372.560059,1399.459961,1366.47998,1397.859985,34311.01
2024-07-18,1395.959961,1411.459961,1388.98999,1393.969971,28870.39
2024-07-19,1387.27002,1425.640015,1380.469971,1422.079956,38942.91
2024-07-22,1421.48999,1426.439941,1388.109985,1395.459961,28543.21
2024-07-23,1395.459961,1397.459961,1351.459961,1351.459961,30943.96
2024-07-24,1346.660034,1360.160034,1331.459961,1336.47998,24122.55
2024-07-25,1336.47998,1344.459961,1316.469971,1326.949951,28346.56
2024-07-26,1326.949951,1334.180054,1307.359985,1318.650024,32353.79
2024-07-29,1311.459961,1318.449951,1294.459961,1294.47998,30869.07
2024-07-30,1282.439941,1286.72998,1257.76001,1276.449951,51779.04
2024-07-31,1269.560059,1323.72998,1269.560059,1317.73999,43272.32
2024-08-01,1314.459961,1316.459961,1281.160034,1282.619995,32038.1
2024-08-02,1270.060059,1293.430054,1270.060059,1281.910034,21927.69
2024-08-05,1285.339966,1322.459961,1281.97998,1306.469971,37736.07
2024-08-06,1318.459961,1320.459961,1290.469971,1301.160034,27444.33
2024-08-07,1301.959961,1318.449951,1294.76001,1311.959961,20622.21
2024-08-08,1307.459961,1344.640015,1305.459961,1327.150024,25130.82
2024-08-09,1356.48999,1365.459961,1333.26001,1333.26001,30138.49
2024-08-12,1326.459961,1339.459961,1323.040039,1332.560059,13632.03
2024-08-13,1329.459961,1331.459961,1308.469971,1319.469971,16308.43
2024-08-14,1319.469971,1321.359985,1308.47998,1309.76001,13414.31
2024-08-15,1301.48999,1332.449951,1300.410034,1323.349976,23038.97
2024-08-16,1323.25,1332.380005,1313.469971,1327.660034,16454.7
2024-08-19,1328.459961,1355.339966,1321.459961,1321.900024,20432.79
2024-08-20,1326.359985,1326.390015,1310.459961,1319.180054,18591.38
2024-08-21,1316.459961,1324.439941,1312.150024,1314.040039,15091.65
2024-08-22,1312.459961,1316.459961,1296.469971,1306.51001,19527.29
2024-08-23,1304.459961,1319.959961,1302.579956,1311.449951,15320.46
2024-08-26,1313.459961,1320.319946,1299.609985,1308.459961,15628.41
2024-08-27,1308.459961,1309.459961,1297.569946,1300.530029,13657.4
2024-08-28,1300.530029,1302.459961,1271.459961,1285.459961,31663.51
2024-08-29,1276.459961,1314.459961,1276.459961,1309.76001,27471.61
2024-08-30,1309.459961,1354.530029,1301.459961,1339.650024,38739.23
2024-09-02,1326.459961,1334.459961,1291.459961,1291.459961,34134.59
2024-09-03,1294.459961,1311.439941,1289.47998,1306.459961,17887.6
2024-09-04,1298.459961,1315.650024,1296.199951,1296.459961,14211.09
2024-09-05,1296.959961,1303.459961,1293.459961,1301.339966,14502.95
2024-09-06,1301.459961,1302.459961,1294.459961,1294.459961,10321.04
2024-09-09,1276.469971,1290.170044,1266.540039,1271.459961,28637.55
2024-09-10,1266.47998,1289.459961,1266.47998,1274.459961,19802.84
2024-09-11,1272.060059,1282.339966,1261.459961,1276.459961,20995.77
2024-09-12,1276.459961,1281.459961,1231.369995,1231.52002,47948.31
2024-09-13,1227.459961,1228.459961,1193.76001,1200.589966,56005.11
2024-09-18,1196.459961,1196.469971,1163.119995,1163.359985,46185.31
2024-09-19,1158.459961,1189.339966,1142.290039,1157.459961,59988.21
2024-09-20,1157.959961,1170.359985,1146.48999,1160.380005,39981.84
2024-09-23,1164.459961,1189.959961,1157.119995,1158.0,45549.69
